Time,intracellular,extracellular,glucose_inside_cell,glucose_outside_cell,lactose,glucose_hexokinase,hexokinase,glucose_6_phosphate,hexokinase_inhibited,fructose_6_phosphate,fructose_16_diphosphate,dihydroxyacetone_3_phosphate,glyceraldehyde_3_phosphate,glycerol,pyruvate,_6_phosphogluconolactone,NADP,NADPH,_6_phosphogluconate,CO2A,ribulose_5_phosphate,ribose_5_phosphate,xylulose_5_phosphate,sedoheptulose_7_phosphate,erythrose_4_phosphate,lactate,acetyl_CoA,CO2B,CIT0C,CO2C,CO2D,fatty_acids,CIT2C,CIT1C,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10,reaction_11,reaction_12,reaction_13,reaction_14,reaction_15,reaction_16,reaction_17,reaction_18,reaction_19,reaction_20,reaction_21,reaction_22,reaction_23,reaction_24,reaction_25,reaction_26,reaction_27,reaction_28,reaction_29,reaction_30
0.0,1.0,1.0,1.0E-9,50.0,1.0E-9,1.0E-9,0.001,0.058,1.0E-9,0.0312,0.0125,0.0352,0.01,0.437,0.059,0.094,0.019,3.8,0.094,1.0E-9,0.5,0.5,0.5,0.06,0.004,6.4,0.1,1.0E-9,0.307,1.0E-9,1.0E-9,6.67,0.09,0.017,2.499999999114,9.0E-12,-3.7422E-8,1.0000000000000002E-6,9.668590000000002E-5,0.020568,0.07425,0.124844416,0.30000000000000004,-13.93,0.075,-0.7008339999999998,0.016158600000000002,0.030719198099999998,0.016900000000000002,0.016499999999999994,0.17964,0.056142000000000004,0.0098664,-0.0014300000000000003,0.059,2.95E-12,2.95E-12,2.95E-12,2.95E-12,0.056999999999999995,0.29638580624000005,0.007190000000000002,0.03375,0.0063750000000000005
10.0,1.0,1.0,2.5642606620071304,50.0,0.2022988527423384,2.0321565074729893E-4,2.175780712037822E-4,0.164894264644226,5.792082780549339E-4,0.04393531836704946,0.010770485591761076,0.09143001302248896,0.034643257426679584,0.4117233754246507,0.22717476566176603,0.7070182222085638,0.7920593864649537,3.0269406135350434,0.13036516568589132,0.8079670976071324,0.680378444243586,0.3177836471505947,0.12849240108210636,0.043962028119330795,0.00785084214953569,6.455116290606922,0.08629438666522116,2.7066908817869217,0.5228527838149652,0.2651455148991756,0.20375995002736916,9.30971962382649,0.08888724749665318,0.08413200160358081,0.2280650534616826,0.023078345958064173,0.20321481240717873,0.20321565074729891,1.886758076285741E-6,0.05892258208825086,0.10660715024009533,0.10630485032048381,0.12387012921769225,-0.014415841172521482,0.25982443070009686,0.14120025838257444,0.13255050577723518,0.11203951797650524,0.028870827128339667,0.06053262563818043,0.02848581165556418,0.024564374414987458,0.02449513071016514,0.00358768482454952,0.22717476566176603,0.009177486803065878,0.030744593339439144,0.003011718510674426,0.0023144559449360374,0.04540410920302565,0.20291635600820096,0.03225911875405044,0.033332717811244944,0.0315495006013428
20.0,1.0,1.0,2.58360770446381,50.0,0.4339322557759934,1.862619567657989E-4,1.9793253807180765E-4,0.19325837596652248,6.158075051692595E-4,0.056123996292464465,0.013801003113493677,0.10540827831629199,0.040088007184947996,0.4742627485514692,0.21817481502844963,0.6767583880932789,0.6695287233903153,3.149471276609681,0.36867701568361605,1.7247819182045423,0.7630187920861137,0.31566558841186704,0.15173312495096283,0.05317231303500536,0.009209139513446301,6.486745233584896,0.067070639849162,4.455894042431549,1.0557185585742406,0.6021168717215649,0.518142079121605,11.038460733378914,0.12997943523368297,0.1139601318060352,0.2109235738450641,0.02325246934017429,0.18626094949763153,0.1862619567657989,2.185534954509327E-6,0.06901177538502344,0.13616968979711305,0.1361423124791613,0.13159500630669152,0.0037251935922348878,0.30066005388711,0.11665879476308927,0.12221912112625921,0.10081207021928051,0.03303715707203344,0.06735833117116714,0.0332068436016437,0.03363672551160515,0.03361857999101154,0.0033018718340610403,0.21817481502844963,0.01881519879843453,0.04860819292469369,0.006568336855668058,0.005652277613540624,0.047242069149145215,0.1639371584422619,0.05538340506431437,0.048742288212631116,0.0427350494272632
30.0,1.0,1.0,2.5932779651682565,50.0,0.6669068071107949,1.7796397401049336E-4,1.8840940090756602E-4,0.2084611785813938,6.336286250903348E-4,0.05733267218085893,0.014105699576654081,0.10856653712244119,0.04125162391469418,0.4885378835833613,0.20193135763379305,0.6211619123613569,0.5839989711870136,3.2350010288129845,0.5772792209598571,2.445631770009243,0.7219136662951877,0.30979353305008894,0.1489593423647366,0.050364665135691836,0.009154339331792574,6.517473566517155,0.051770586030664846,6.010882389900405,1.8837461885045783,1.109694792678545,0.979885096929995,12.51137131391407,0.18435048612019747,0.17118128914111536,0.20235572286092474,0.023339501686514306,0.17796298605236943,0.17796397401049335,2.110305787898751E-6,0.07447269756749318,0.1390999705791511,0.13907747845262056,0.1383733457223557,5.766733812002656E-4,0.3093871793602064,0.1013579729535703,0.1076158921406859,0.08713657010216558,0.031077028079347948,0.06335699933894232,0.03197900695057223,0.0323593634146723,0.03235686325685579,0.0027992039457552143,0.20193135763379305,0.024692487179515138,0.06068928207848237,0.011204108802236455,0.00989347639740974,0.048525015432194764,0.12981441894248044,0.07361325193015382,0.06913143229507406,0.06419298342791827
40.0,1.0,1.0,2.6045098927785646,50.0,0.900807307214139,1.678929435981958E-4,1.7698072499155196E-4,0.22880907009856943,6.551283314192296E-4,0.05741907910603792,0.014128476721234075,0.1081610128885212,0.041065361595541666,0.4867403837537676,0.18312423634430372,0.5534823314188437,0.4871831516791306,3.331816848320867,0.7670481881512493,2.987198290722717,0.6383688945792148,0.299029807038354,0.1366896725360107,0.0461451234223919,0.009041983443003788,6.542598929100195,0.03853936603794865,7.295158700796803,2.9703656467171733,1.7372245045631374,1.5811280181406135,13.651941813843623,0.21951340509775924,0.2113753251895594,0.19240423499819181,0.02344058903500708,0.1678920092810604,0.16789294359819582,1.9919903075933638E-6,0.0817970744444246,0.13930915474872457,0.139321548584016,0.1402890500326861,-7.912877711113708E-4,0.3079902119665625,0.0842266994854457,0.09106450490731029,0.07396240699732282,0.027074161854939403,0.05568203984209517,0.028292506502330082,0.028740132116731956,0.02872275060334243,0.002222427625779014,0.18312423634430372,0.027351420289880347,0.06679601830469588,0.015906395537836796,0.014477143044229115,0.04997725272481301,0.09941185353288329,0.08485251262426843,0.08231752691165972,0.07926574694608478
50.0,1.0,1.0,2.6138669841829145,50.0,1.1356550043887788,1.597917307376279E-4,1.6783822722575537E-4,0.24553706285021842,6.723720420457545E-4,0.056698857987372425,0.013946281584724147,0.1058249102847006,0.04015501643108531,0.47623571652386193,0.16536452965192963,0.4903311148358949,0.4107409129845525,3.4082590870154474,0.9164643850698257,3.3931360360382192,0.5543802738104882,0.28608411291559116,0.12349500001301401,0.04201288486588111,0.008835915511883561,6.562042952547472,0.0289297659353829,8.353916130863924,4.2369439410292955,2.4175062369373403,2.2536724824376915,14.524052280067863,0.23691418471436465,0.23313950963700283,0.1841138520139376,0.02352480285764623,0.15979104329155222,0.1597917307376279,1.4607082088727747E-6,0.08782635404620491,0.13756326049301382,0.13758458060024673,0.13902806635096887,-0.0011810121354578484,0.3011626232331398,0.070490868815829,0.07614877317882227,0.06335179878093378,0.02308445106129183,0.048025632927771816,0.02442535257106445,0.0248379096794755,0.02481484246665261,0.0016799144132841528,0.16536452965192963,0.028055217232223654,0.06907207058659903,0.019988489090087484,0.018633874502390277,0.05112388630523171,0.07623995763560895,0.08991836168485534,0.08884281926788674,0.08742731611387607
60.0,1.0,1.0,2.620592603290809,50.0,1.3712237900978832,1.5401299282645695E-4,1.6135351021266602E-4,0.25829813721576395,6.84635496968352E-4,0.05586521895671344,0.013735021262116483,0.10326238381404104,0.039166469069563586,0.4647023920242171,0.15071757480605935,0.4411706131898431,0.3564611362329713,3.46253886376703,1.0250361390161347,3.7055110259681587,0.4854865081153657,0.2726739245018257,0.11249203641642039,0.03844132239035287,0.008592305557682544,6.576523762935658,0.022327623507680035,9.237281545408432,5.618052392128622,3.1030260409652546,2.9430722720775226,15.19894330303889,0.2433590274562551,0.2420838391116227,0.17815495348434318,0.02358533342961728,0.1540125150841651,0.15401299282645695,1.0125279421324852E-6,0.09242867720810788,0.13554254101314864,0.13556257767209254,0.13688645276222466,-0.0010832430516209968,0.2937485180217269,0.06049294675364125,0.06468539686405186,0.05560844447841884,0.01985700782883871,0.04175767331503429,0.021181657913667773,0.021530010297916916,0.021504807609298036,0.0012332653627139516,0.15071757480605935,0.027924281762551684,0.06961103361623634,0.023384027972716548,0.022178635766324156,0.05193808295650545,0.059695208770976074,0.09156467599024984,0.09125963529609565,0.09078143966685852
70.0,1.0,1.0,2.625234231267537,50.0,1.607299089347429,1.5003334128671787E-4,1.5690640586325775E-4,0.2676220483528607,6.930622528580751E-4,0.055151531445703394,0.013554166381405266,0.1011005141864312,0.0383351476944188,0.45496949170455414,0.13918631529626488,0.4055958017282119,0.3193910300326764,3.4996089699673245,1.1014689624828915,3.9549623708145663,0.43356507223239316,0.2598190786050288,0.1043767547956961,0.03554483849040338,0.008338639162693383,6.587028218683841,0.017778702114636575,9.988542576910765,7.073735453864685,3.7701747536075882,3.6192519907788565,15.733971723820895,0.244395932524393,0.24432192926345594,0.17404247109696236,0.02362710808140783,0.15003301331921232,0.15003334128671786,6.937948134553418E-7,0.09579242209257281,0.1338125786998369,0.13382860302470587,0.134878259894875,-8.588932806858907E-4,0.287513607708141,0.05344957766870451,0.056430740946665246,0.050051172784030484,0.01746918453821819,0.03702164128680107,0.018708162046354233,0.018991096928858562,0.018965810942814125,8.820753495460258E-4,0.13918631529626488,0.027523831976452976,0.0695134218230034,0.02623783659888218,0.025187517436259015,0.052494134549509866,0.04796760179115005,0.0915971540402099,0.09164847469664739,0.09162072347379598
80.0,1.0,1.0,2.628435886571832,50.0,1.8437229278476794,1.472838681316331E-4,1.538434495766659E-4,0.2743978246555943,6.988746822996862E-4,0.05459668498422223,0.013413647248450207,0.0994327501499321,0.03769455013144973,0.4474603810477846,0.13013278103925544,0.3803918693799063,0.29405184985268884,3.5249481501473103,1.1556560107036247,4.1611816847851415,0.39534878917914695,0.24798660543079232,0.09872300386292195,0.03324812027906005,0.008090227638154836,6.594418105056622,0.014557581095738832,10.639589839536878,8.58284617812621,4.409578665884409,4.269320059493237,16.16908128749787,0.24299094849691796,0.24345493456036738,0.17120580449735678,0.023655922979146485,0.1472836391339605,0.1472838681316331,4.837830415813798E-7,0.09823725002617173,0.13246761828602052,0.13247982431342842,0.13327451456036332,-6.502686545104552E-4,0.282709125985873,0.048468031998913474,0.05058181724712288,0.04599580253893265,0.015750056450978513,0.03351368922973137,0.01687506371426455,0.017103216801985097,0.01707895280971348,6.067743786493515E-4,0.13013278103925544,0.027075307252535246,0.06922797074679699,0.028691536750145397,0.02777892462442672,0.052874222252209654,0.03949297106669755,0.09091184051109248,0.09112160568634424,0.09129560046013777
90.0,1.0,1.0,2.6306939308638277,50.0,2.080389412789391,1.453383545875364E-4,1.5168104381904727E-4,0.2793953699749024,7.029826016007424E-4,0.05417553274280398,0.013307070503324222,0.0981750039966881,0.037211568529814935,0.4417973300968159,0.12290682155847846,0.3624059388917531,0.27636050246869637,3.542639497531301,1.1953249808909396,4.336648351412926,0.3670399756762496,0.2373422720453333,0.09487239693641408,0.0314249123204029,0.007855412564379457,6.599350001006951,0.012199139535864835,11.212820873527477,10.134089512711775,5.018470585905859,4.888982292933705,16.531054033658815,0.240508486642068,0.24120971916583203,0.16920517725464856,0.02367624537777445,0.14533818992649344,0.1453383545875364,3.4750176038125216E-7,0.10004057786353682,0.1314467107060127,0.1314559703502434,0.1320555390466338,-4.906055859699165E-4,0.27908676397361204,0.044866231135469725,0.04638882719330789,0.04295668119876783,0.014507053976678078,0.03089188213036488,0.015510783608145715,0.015696081328282686,0.015673453074758436,3.8752964625087807E-4,0.12290682155847846,0.02665018325444891,0.0689066087134912,0.03084021343992021,0.03004446371400819,0.05313959246296951,0.03319770436871047,0.08991194913764218,0.0901906824907755,0.09045364468718702
