Time,compartment,GSH,HTA,SLG,Lac,MG,ZAZ,reversMA,reversMM,irreversMM,irreversMA
0.0,1.0,0.15,0.0,100.0,0.0,0.01,0.2,0.012,-2.918293377190995E-5,0.25,0.0
1.0,1.0,0.14646612591114008,0.0035608472987719553,99.75012935902237,0.23087701240285127,0.006466125911140088,0.2189666553648837,4.54852697322726E-4,-2.6159405980819717E-5,0.24968727098978677,0.0369403219844562
2.0,1.0,0.14634195771720424,0.003711079640722696,99.50057255044345,0.42732825476878494,0.006341957717204202,0.2720461574298604,2.596783317762759E-6,-2.6023940012459403E-5,0.24937415286185424,0.0683725207630056
3.0,1.0,0.14635251840995772,0.0037265312366250914,99.25132910655174,0.5944435002291444,0.006352518409957697,0.35414834357258623,-1.54059329067497E-5,-2.600282108578899E-5,0.24906064504462114,0.0951109600366631
4.0,1.0,0.146368437554934,0.003736606567732922,99.00239938134217,0.7365604023042477,0.00636843755493395,0.4609351722309423,-1.610709881107262E-5,-2.598620544718055E-5,0.2487467480018342,0.11784966436867964
5.0,1.0,0.14638455815458104,0.0037464639267967667,98.75378376322048,0.8573743513212296,0.006384558154580955,0.5887108633769306,-1.6122057829050067E-5,-2.5969703211018348E-5,0.2484324622490405,0.13717989621139676
6.0,1.0,0.14640067513642213,0.0037563083721653917,98.5054826404327,0.9600347520294702,0.006400675136422033,0.7343256240292797,-1.6111453922011167E-5,-2.595313909090119E-5,0.2481177883103178,0.15360556032471523
7.0,1.0,0.1464167808285523,0.0037661475091537535,98.25749639898342,1.047225733615433,0.0064167808285521995,0.8950949390634805,-1.6099880715637893E-5,-2.5936506233690642E-5,0.24780272671567755,0.16755611737846926
8.0,1.0,0.1464328749098583,0.003775981589494169,98.00982542937184,1.12123342897269,0.0064328749098582026,1.0687322851561647,-1.6088243100080904E-5,-2.5919804073398928E-5,0.24748727800967377,0.1793973486356304
9.0,1.0,0.14644895733279747,0.003785810591258442,97.76247011850496,1.1840067447339326,0.006448957332797413,1.2532883688371073,-1.607656434184611E-5,-2.5903032276876178E-5,0.2471714427411907,0.18944107915742922
10.0,1.0,0.14646502805667863,0.0037956344853374334,97.51543085273711,1.2372064251611845,0.006465028056678573,1.4471020595597448,-1.606484500573345E-5,-2.588619051542663E-5,0.24685522146733524,0.1979530280257895
11.0,1.0,0.14648108704084475,0.0038054532422583578,97.26870801786174,1.2822476594788583,0.0064810870408447165,1.6487577823763577,-1.6053084922588307E-5,-2.586927845894169E-5,0.24653861475347252,0.20515962551661734
12.0,1.0,0.14649713424445215,0.003815266832404256,97.0223019991031,1.3203363893402087,0.006497134244452137,1.8570492104798928,-1.6041283898656812E-5,-2.5852295775703198E-5,0.2462216231732608,0.2112538222944334
13.0,1.0,0.14651316962646238,0.003825075226020427,96.77621318110798,1.352500247917522,0.0065131696264623465,2.070948326122084,-1.6029441738451243E-5,-2.5835242132370048E-5,0.24590424730868646,0.21640003966680355
14.0,1.0,0.14652919314564095,0.0038348783932139908,96.53044194793729,1.3796149243774067,0.006529193145640878,2.2895790561465095,-1.6017558245524574E-5,-2.58181171939709E-5,0.245586487750099,0.22073838790038508
15.0,1.0,0.14654520476055635,0.0038446763039532107,96.28498868305779,1.4024266301379773,0.006545204760556333,2.5121948057397843,-1.600563322245313E-5,-2.5800920623896988E-5,0.24526834509624565,0.22438826082207639
16.0,1.0,0.14656120442957948,0.0038544689280668285,96.03985376933358,1.4215712432935634,0.006561204429579407,2.7381593140152716,-1.5993666470857405E-5,-2.578365208389492E-5,0.24494981995430629,0.22745139892697017
17.0,1.0,0.146577192110882,0.0038642562352433686,95.7950375890177,1.4375906223689074,0.006577192110881935,2.966930340267331,-1.5981657791386446E-5,-2.5766311234059484E-5,0.24463091293992767,0.2300144995790252
18.0,1.0,0.14659316776243597,0.0038740381950304634,95.55054052374363,1.4509465079422292,0.00659316776243591,3.198045762356739,-1.5969606983710916E-5,-2.5748897732826413E-5,0.24431162467725817,0.23215144127075668
19.0,1.0,0.14660913134201256,0.0038838147768341645,95.3063629545168,1.462032368791836,0.006609131342012513,3.4311117305725993,-1.5957513846535237E-5,-2.573141123696518E-5,0.243991955798982,0.23392517900669377
20.0,1.0,0.14662508280718117,0.0038935859499182462,95.06250526170595,1.471183496486433,0.006625082807181133,3.665792573050582,-1.59453781775655E-5,-2.571385140157167E-5,0.24367190694635335,0.2353893594378293
21.0,1.0,0.1466410221153084,0.003903351683403522,94.8189678250347,1.47868560740205,0.006641022115308379,3.901802193764586,-1.5933199773538083E-5,-2.5696217880061018E-5,0.24335147876923063,0.236589697184328
22.0,1.0,0.1466569492235571,0.0039131119462671405,94.57575102357283,1.4847821728556019,0.006656949223557099,4.138896742401803,-1.592097843019103E-5,-2.5678510324160236E-5,0.24303067192611014,0.2375651476568963
23.0,1.0,0.1466728640888854,0.003922866707341891,94.33285523572759,1.4896806654141566,0.006672864088885378,4.376868368062097,-1.5908713942268393E-5,-2.566072838390096E-5,0.24270948708416015,0.23834890646626505
24.0,1.0,0.14668876666804556,0.003932615935315498,94.09028083923508,1.4935578816328097,0.006688766668045553,4.615539896528823,-1.5896406103518487E-5,-2.5642871707612126E-5,0.24238792491925454,0.23896926106124955
25.0,1.0,0.14670465691758322,0.003942359598729918,93.84802821115152,1.496564477779267,0.006704656917583202,4.854760294552968,-1.5884054706679154E-5,-2.5624939941912637E-5,0.24206598611600605,0.23945031644468273
