Time,compartment,MG,GSH,HTA,SLG,reversMA,reversMM
0.0,1.0,0.1,0.15,0.1,0.0,-0.08000000000000002,4.264185889880451
0.005,1.0,0.10029639642088037,0.15029639642088036,0.08025252672723773,0.019451076851881955,-0.03991155780600825,3.5323460788693093
0.01,1.0,0.10041171101824783,0.15041171101824777,0.06410219841270201,0.03548609056905021,-0.00737961874120803,2.897820952594259
0.015,1.0,0.10038094339352119,0.15038094339352115,0.05103056911684766,0.0485884874896312,0.01870190949629956,2.3585491590234033
0.02,1.0,0.10023370381617151,0.1502337038161715,0.04054605981539766,0.05922023636843089,0.03937572494133723,1.9082386438435661
0.025,1.0,0.09999462142975875,0.14999462142975875,0.032200968019741774,0.06780441055049954,0.0555873070514661,1.5378715520531474
0.03,1.0,0.09968388212746719,0.1496838821274672,0.025600943341691305,0.07471517453084156,0.06816667701562645,1.237113551151867
0.035,1.0,0.09931782330272187,0.1493178233027219,0.020408039972078063,0.0802741367252001,0.0778232895816581,0.9954326866931755
0.04,1.0,0.09890952889030419,0.14890952889030423,0.01633904492275546,0.08475142618694041,0.08515048095302614,0.8028653109480437
0.045,1.0,0.09846938573285313,0.14846938573285315,0.013160858034413348,0.0883697562327336,0.09063579763715793,0.6504594430937714
0.05,1.0,0.09800558010155802,0.14800558010155804,0.010684369052394237,0.09131005084604782,0.09467424378417799,0.5304670598141751
0.055,1.0,0.09752452539630538,0.14752452539630537,0.008757900421581056,0.09371757418211363,0.09758227374555693,0.4363657609801394
0.06,1.0,0.09703122099864278,0.14703122099864277,0.007260890407158889,0.0957078885941984,0.09961117037303897,0.3627785185222671
0.065,1.0,0.09652954740383542,0.14652954740383542,0.006098186169352415,0.09737226642681222,0.10095907479874382,0.3053423969039962
0.07,1.0,0.0960225052689962,0.14602250526899616,0.005195103496307786,0.09878239123469608,0.1017813672600581,0.26055996622073707
0.075,1.0,0.0955124067809281,0.14551240678092803,0.004493276245743803,0.09999431697332817,0.10219936901356741,0.22565351949783724
0.08,1.0,0.095001027481319,0.14500102748131888,0.00394724379474603,0.10105172872393503,0.10230748518308608,0.19843262602085235
0.085,1.0,0.09448972588842294,0.14448972588842285,0.0035216895690610493,0.10198858454251604,0.10217897760500144,0.1771793954612027
0.09,1.0,0.09397953724399795,0.1439795372439978,0.003189232808149249,0.10283122994785283,0.10187057664606856,0.16055219478018756
0.095,1.0,0.093471246680272,0.1434712466802718,0.0029286784431942947,0.10360007487653376,0.10142613343343414,0.14750662487788616
0.1,1.0,0.09296544614329086,0.14296544614329063,0.002723639409551198,0.10431091444715798,0.10087949305118268,0.13723169045653855
0.105,1.0,0.09246257856982568,0.1424625785698255,0.002561457711861085,0.10497596371831326,0.10025674349045746,0.12909884200283797
0.11,1.0,0.09196297210648735,0.14196297210648717,0.002432362775616324,0.10560466511789636,0.09957796920063074,0.12262164631472228
0.115,1.0,0.09146686657604067,0.14146686657604046,0.0023288168749387712,0.1062043165490206,0.09885861433045237,0.11742407624835072
0.12,1.0,0.09097443392340067,0.14097443392340045,0.0022450072302717854,0.10678055884632758,0.09811054013028209,0.11321570013322563
0.125,1.0,0.09048579402999149,0.14048579402999126,0.0021764514162263856,0.10733775455378218,0.097342846149448,0.1097722820374497
0.13,1.0,0.09000102674610534,0.14000102674610515,0.0021196978176209985,0.10787927543627371,0.09656249358602537,0.10692098791934057
0.135,1.0,0.08952018146196924,0.13952018146196907,0.0020720841327294686,0.10840773440530133,0.09577480743119986,0.10452840654576852
0.14,1.0,0.0890432842409366,0.13904328424093643,0.0020315588399278986,0.10892515691913553,0.09498384776381655,0.10249167242477521
0.145,1.0,0.08857034338488691,0.13857034338488675,0.0019965410962991506,0.10943311551881398,0.09419270097989059,0.10073148291724222
0.15,1.0,0.0881013537173418,0.13810135371734164,0.001965812696217822,0.10993283358644043,0.09340370430912637,0.0991867039148057
0.155,1.0,0.08763629987822978,0.13763629987822962,0.0019384347851410515,0.11042526533662923,0.09261861883178583,0.09781020587701983
0.16,1.0,0.08717515885712876,0.1371751588571286,0.0019136836755090235,0.1109111574673623,0.09183876276595843,0.0965656515003696
0.165,1.0,0.08671790193993066,0.1367179019399305,0.0018910013950146555,0.11139109666505477,0.09106511412085028,0.09542501866690432
0.17,1.0,0.08626449620379416,0.13626449620379397,0.0018699575925680589,0.1118655462036379,0.09029838973873676,0.09436669105047914
0.175,1.0,0.08581490566431851,0.13581490566431834,0.001850220197574165,0.11233487413810743,0.08953910614398604,0.0933739866988566
0.18,1.0,0.08536909215501101,0.13536909215501083,0.0018315328236970499,0.11279937502129206,0.08878762637757628,0.09243402437291556
0.185,1.0,0.08492701600072336,0.13492701600072315,0.0018136973683020251,0.11325928663097475,0.08804419603798212,0.09153685025895389
0.19,1.0,0.08448863653255503,0.1344886365325548,0.0017965606138314481,0.11371480285361366,0.08730897101040051,0.09067476534101178
0.195,1.0,0.08405391248079651,0.13405391248079626,0.0017800039112716027,0.11416608360793203,0.08658203879641042,0.08984180737919345
0.2,1.0,0.08362280227407026,0.13362280227407,0.0017639352370657452,0.11461326248886412,0.08586343491684245,0.0890333519885494
0.205,1.0,0.08319526426634653,0.1331952642663463,0.0017482830776213041,0.11505645265603229,0.08515315552207375,0.08824580545393083
0.21,1.0,0.08277125690851929,0.13277125690851907,0.0017329917210075804,0.11549575137047324,0.08445116708312123,0.08747636819556363
0.215,1.0,0.08235073887738514,0.13235073887738494,0.0017180176320906724,0.11593124349052429,0.08375741383598276,0.08672285264158203
0.22,1.0,0.08193366917190932,0.1319336691719091,0.0017033266618031607,0.11636300416628763,0.08307182349693233,0.08598354299543579
0.225,1.0,0.0815200071843844,0.13152000718438417,0.0016888918985889009,0.1167911009170268,0.08239431164731248,0.08525708726163479
0.23,1.0,0.08110971275233475,0.13110971275233452,0.0016746920142245503,0.11721559523344079,0.08172478509461469,0.08454241410868384
0.235,1.0,0.08070274619566907,0.1307027461956688,0.0016607099902264555,0.11763654381410459,0.08106314444599517,0.08383866885458714
0.24,1.0,0.08029906834254537,0.1302990683425451,0.0016469321372372162,0.11805399952021753,0.08040928607598971,0.08314516417468142
0.245,1.0,0.07989864054661225,0.129898640546612,0.0016333473399483404,0.11846801211343953,0.07976310362832206,0.08246134214380356
0.25,1.0,0.07950142469767552,0.12950142469767523,0.001619946475638744,0.11887862882668587,0.0791244891594739,0.08178674500429661
0.255,1.0,0.079107383227365,0.1291073832273647,0.001606721966360254,0.1192858948062749,0.07849333400687482,0.08112099265158779
0.26,1.0,0.07871647911101252,0.12871647911101222,0.0015936674340022807,0.11968985345498537,0.07786952944547604,0.08046376529123338
0.265,1.0,0.07832867586667087,0.12832867586667057,0.001580777434551201,0.1200905466987781,0.07725296718177367,0.07981479007716237
0.27,1.0,0.07794393755198833,0.12794393755198805,0.0015680472533129606,0.12048801519469889,0.07664353972303528,0.07917383081481376
0.275,1.0,0.07756222875948673,0.12756222875948645,0.0015554727470651285,0.12088229849344831,0.07604114065077587,0.07854068002378192
0.28,1.0,0.07718351461066383,0.12718351461066352,0.001543050222336009,0.12127343516700034,0.07544566482082979,0.07791515281696258
0.285,1.0,0.07680776074924188,0.12680776074924155,0.001530776341495844,0.12166146290926247,0.07485700850720711,0.07729708217819864
0.29,1.0,0.07643493333380924,0.12643493333380892,0.0015186480502598694,0.12204641861593107,0.07427506950295466,0.07668631531665783
0.295,1.0,0.07606499903004345,0.12606499903004312,0.0015066625216768254,0.12242833844827992,0.07369974718818761,0.07608271085025343
0.3,1.0,0.07569792500265929,0.12569792500265897,0.0014948171128110004,0.1228072578845299,0.07313094257310737,0.07548613662744622
0.305,1.0,0.07533367890719171,0.12533367890719138,0.0014831093311991263,0.12318321176160933,0.07256855832201313,0.07489646804066405
0.31,1.0,0.07497222888169608,0.12497222888169575,0.0014715368088355652,0.12355623430946852,0.0720124987629225,0.07431358671836549
0.315,1.0,0.07461354353842883,0.1246135435384285,0.001460097281956569,0.12392635917961478,0.07146266988634632,0.07373737950878477
0.32,1.0,0.07425759195555552,0.12425759195555519,0.0014487885752926045,0.12429361946915207,0.07091897933593908,0.07316773768841718
0.325,1.0,0.07390434366892146,0.12390434366892113,0.0014376085897641912,0.12465804774131456,0.07038133639311242,0.07260455634371435
0.33,1.0,0.07355376866391097,0.12355376866391064,0.0014265552928326214,0.12501967604325662,0.069849651957212,0.07204773388632217
0.335,1.0,0.07320583736741416,0.12320583736741383,0.0014156267108984607,0.12537853592168757,0.06932383852248289,0.07149717167132334
0.34,1.0,0.07286052063991495,0.12286052063991462,0.0014048209232804965,0.12573465843680479,0.06880381015276057,0.07095277369497659
0.345,1.0,0.07251778976770978,0.12251778976770945,0.0013941360574153204,0.12608807417487514,0.06828948245460312,0.07041444635385091
0.35,1.0,0.07217761645526335,0.12217761645526302,0.001383570285000535,0.12643881325973635,0.0677807725494089,0.06988209825142004
0.355,1.0,0.07183997281770554,0.12183997281770521,0.00137312181886827,0.1267869053634264,0.06727759904493485,0.06935564004138442
0.36,1.0,0.07150483137347138,0.12150483137347105,0.001362788910424736,0.1271323797161041,0.0667798820065275,0.06883498429945681
0.365,1.0,0.0711721650370852,0.12117216503708488,0.0013525698475292725,0.12747526511538576,0.06628754292830409,0.06832004541724404
0.37,1.0,0.07084194711208869,0.12084194711208836,0.0013424629527154157,0.12781558993519612,0.06580050470446022,0.06781073951332128
0.375,1.0,0.07051415128411156,0.12051415128411123,0.0013324665816788442,0.12815338213420982,0.06531869160083534,0.06730698435771759
0.38,1.0,0.07018875161408383,0.1201887516140835,0.0013225791219742945,0.12848866926394212,0.0648420292268332,0.06680869930689977
0.385,1.0,0.06986572253158727,0.11986572253158694,0.0013127989918767632,0.12882147847653622,0.06437044450776712,0.0663158052470058
0.39,1.0,0.06954503882834398,0.11954503882834365,0.0013031246393725292,0.12915183653228374,0.06390386565767932,0.06582822454359431
0.395,1.0,0.06922667565183978,0.11922667565183945,0.0012935545412533637,0.1294797698069071,0.06344222215266922,0.06534588099657018
0.4,1.0,0.06891060849907932,0.11891060849907899,0.0012840872022933504,0.12980530429862755,0.0629854447047519,0.06486869979925056
0.405,1.0,0.06859681321047083,0.1185968132104705,0.0012747211544923882,0.13012846563503697,0.06253346523626117,0.06439660750077128
0.41,1.0,0.06828526596383738,0.11828526596383705,0.0012654549563740304,0.13044927907978876,0.06208621685480278,0.06392953197121173
0.415,1.0,0.06797594326855194,0.11797594326855161,0.0012562871923280788,0.13076776953912012,0.06164363382875958,0.0634674023689571
0.42,1.0,0.06766882195979367,0.11766882195979333,0.0012472164719904818,0.13108396156821603,0.06120565156334635,0.06301014910992303
0.425,1.0,0.06736387919292235,0.11736387919292202,0.0012382414296547093,0.13139787937742314,0.06077220657720843,0.06255770383835042
0.43,1.0,0.06706109243796873,0.1170610924379684,0.001229360723710061,0.13170954683832142,0.06034323647955749,0.06210999939894121
0.435,1.0,0.06676043947423768,0.11676043947423735,0.0012205730361033271,0.1320189874896592,0.05991867994783506,0.061666969810156715
0.44,1.0,0.06646189838502192,0.11646189838502159,0.0012118770718209753,0.13232622454315734,0.059498476705894476,0.06122855023853531
0.445,1.0,0.06616544755242328,0.11616544755242295,0.0012032715583896185,0.13263128088918735,0.059082567502689705,0.060794676973917966
0.45,1.0,0.06587106565227957,0.11587106565227924,0.0011947552453929716,0.13293417910232774,0.05867089409146111,0.06036528740549117
0.455,1.0,0.06557873164919412,0.11557873164919379,0.0011863269040038483,0.1332349414468023,0.05826339920940589,0.05994031999857523
0.46,1.0,0.06528842479166579,0.11528842479166546,0.0011779853265300219,0.13353358988180444,0.057860026557822096,0.059519714272098824
0.465,1.0,0.06500012460731727,0.11500012460731694,0.0011697293259729778,0.13383014606670998,0.057460720782714955,0.0591034107767113
0.47,1.0,0.06471381089821895,0.11471381089821862,0.00116155773559876,0.13412463136618252,0.05706542745585343,0.0586913510734932
0.475,1.0,0.0644294637363066,0.11442946373630627,0.0011534694085202273,0.1344170668551734,0.056674093056266396,0.05828347771323067
0.48,1.0,0.06414706345889046,0.11414706345889013,0.0011454632172901444,0.13470747332381963,0.05628666495216708,0.05787973421622523
0.485,1.0,0.06386659066425357,0.11386659066425324,0.0011375380535046074,0.13499587128224202,0.05590309138329461,0.057480065052614174
0.49,1.0,0.0635880262073375,0.11358802620733717,0.0011296928274163681,0.13528228096524628,0.05552332144366242,0.05708441562318
0.495,1.0,0.06331135119551325,0.11331135119551292,0.0011219264675576632,0.1355667223369292,0.05514730506470274,0.05669273224062914
0.5,1.0,0.0630365469844355,0.11303654698443517,0.0011142379203722072,0.1358492150951924,0.05477499299879718,0.056304962111323416
0.505,1.0,0.06276359517397827,0.11276359517397794,0.0011066261498560242,0.13612977867616585,0.05440633680318332,0.05592105331744804
0.51,1.0,0.062492477604250016,0.11249247760424969,0.0010990901372068336,0.1364084322585433,0.05404128882422769,0.05554095479960212
0.515,1.0,0.06222317635168668,0.11222317635168635,0.0010916288804817167,0.13668519476783172,0.05367980218205588,0.05516461633979813
0.52,1.0,0.061955673725220525,0.11195567372522021,0.0010842413942628098,0.1369600848805168,0.053321830755530285,0.05479198854485797
0.525,1.0,0.06168995226252332,0.11168995226252298,0.001076926709330795,0.137233121028146,0.05296732916756682,0.05442302283019438
0.53,1.0,0.061425994726322077,0.11142599472632174,0.0010696838723459527,0.1375043214013321,0.052616252770781934,0.05405767140396561
0.535,1.0,0.06116378410078576,0.11116378410078542,0.001062511945536575,0.1377737039536778,0.052268557633461256,0.05369588725159431
0.54,1.0,0.060903303587981385,0.11090330358798103,0.0010554100063945237,0.13804128640562421,0.05192420052584194,0.053337624120639186
0.545,1.0,0.06064453660439789,0.11064453660439753,0.0010483771473777496,0.1383070862482245,0.05158313890670073,0.05298283650601088
0.55,1.0,0.060387466777536356,0.110387466777536,0.0010414124756195776,0.13857112074684416,0.051245330910239674,0.05263147963552233
0.555,1.0,0.06013207794256506,0.11013207794256472,0.0010345151126445811,0.1388334069447904,0.05091073533326245,0.05228350945576495
0.56,1.0,0.059878354139037956,0.10987835413903758,0.0010276841940908717,0.1390939616668712,0.05057931162263361,0.05193888261830193
0.565,1.0,0.05962627960767511,0.10962627960767471,0.0010209188694386344,0.1393528015228863,0.0502510198630138,0.051597556466170556
0.57,1.0,0.05937583878720381,0.1093758387872034,0.0010142183017447476,0.13960994291105147,0.049925820764863967,0.05125948902068551
0.575,1.0,0.059127016311259085,0.10912701631125866,0.0010075816673833316,0.13986540202135764,0.049603675652711954,0.05092463896853531
0.58,1.0,0.058879797005342065,0.10887979700534166,0.0010010081557920703,0.14011919483886592,0.0492845464536748,0.05059296564916466
0.585,1.0,0.0586341658838353,0.1086341658838349,9.94496969224161E-4,0.14037133714694058,0.048968395686230536,0.050264429042435076
0.59,1.0,0.05839010814707346,0.10839010814707307,9.880473225057497E-4,0.14062184453042084,0.04865518644923318,0.04993898975655708
0.595,1.0,0.058147609178468444,0.10814760917846805,9.816584427987103E-4,0.14087073237873293,0.04834488241116504,0.049616609016287054
0.6,1.0,0.05790665454168761,0.10790665454168723,9.753295693686368E-4,0.14111801588894385,0.0480374477996204,0.04929724865138201
0.605,1.0,0.057667229977884066,0.10766722997788368,9.69059953357913E-4,0.1413637100687581,0.04773284739101499,0.048980871085305897
0.61,1.0,0.05742932140297778,0.10742932140297742,9.62848857563736E-4,0.14160782973945854,0.04743104650051565,0.04866743932418102
0.615,1.0,0.057192914904986625,0.10719291490498627,9.566955562209711E-4,0.14185038953879248,0.04713201097218487,0.04835691694597908
0.62,1.0,0.056957996741406,0.10695799674140563,9.505993347897132E-4,0.14209140392380437,0.04683570716933494,0.04804926808994507
0.625,1.0,0.05672455333663637,0.10672455333663602,9.445594897474425E-4,0.14233088717361628,0.04654210196508674,0.04774445744624898
0.63,1.0,0.056492571279457345,0.106492571279457,9.385753283856597E-4,0.1425688533921571,0.04625116273312801,0.04744245024585923
0.635,1.0,0.05626203732054757,0.10626203732054723,9.326461686108912E-4,0.14280531651084166,0.04596285733866659,0.04714321225063296
0.64,1.0,0.056032938370049336,0.10603293837004898,9.267713387499548E-4,0.14304029029120083,0.04567715412957364,0.04684670974361722
0.645,1.0,0.05580526149517701,0.10580526149517668,9.209501773593854E-4,0.14327378832746376,0.04539402192771257,0.04655290951955648
0.65,1.0,0.0555789939178684,0.10557899391786806,9.151820330389181E-4,0.14350582404909287,0.045113430020448986,0.046261778875601366
0.655,1.0,0.055354123012478065,0.10535412301247772,9.094662642489264E-4,0.1437364107232732,0.044835348152337653,0.04597328560221332
0.66,1.0,0.05513063630351182,0.10513063630351147,9.038022391317265E-4,0.1439655614573567,0.04455974651698188,0.04568739797426111
0.665,1.0,0.054908521463401465,0.1049085214634011,8.981893353366493E-4,0.14419328920126212,0.044286595749061686,0.045404084742304174
0.67,1.0,0.054687766310319026,0.10468776631031866,8.92626939848792E-4,0.14441960674983242,0.04401586691652638,0.04512331512405843
0.675,1.0,0.05446835880602956,0.1044683588060292,8.871144488213591E-4,0.14464452674514933,0.04374753151294797,0.04484505879604021
0.68,1.0,0.05425028705378185,0.10425028705378149,8.816512674115091E-4,0.14486806167880686,0.04348156145003141,0.04456928588538407
0.685,1.0,0.054033539296236104,0.10403353929623575,8.762368096196212E-4,0.1450902238941445,0.04321792905027818,0.044295966961830364
0.69,1.0,0.053818103913428075,0.10381810391342773,8.708704981319034E-4,0.14531102558844025,0.042956607039799616,0.04402507302987854
0.695,1.0,0.053603969420768595,0.10360396942076826,8.655517641662593E-4,0.14553047881506537,0.04269756854127633,0.043756575521102306
0.7,1.0,0.05339112446707808,0.10339112446707775,8.602800473213407E-4,0.14574859548560076,0.04244078706706061,0.0434904462866228
0.705,1.0,0.053179557832655114,0.10317955783265477,8.550547954287068E-4,0.1459653873719164,0.042186236512418165,0.04322665758973607
0.71,1.0,0.052969258427378485,0.10296925842737814,8.4987546440802E-4,0.14618086610821368,0.041933891148906464,0.04296518209869128
0.715,1.0,0.052760215288842005,0.10276021528884166,8.447415181252077E-4,0.14639504319303293,0.0416837256178859,0.04270599287961628
0.72,1.0,0.05255241758052145,0.10255241758052111,8.396524282535155E-4,0.14660792999122516,0.041435714924161406,0.042449063389586573
0.725,1.0,0.052345854589972964,0.10234585458997264,8.346076741373937E-4,0.14681953773588977,0.041189834429751014,0.042194367469835216
0.73,1.0,0.05214051572706232,0.10214051572706198,8.296067426591409E-4,0.14702987753027866,0.04094605984777877,0.04194187933909955
0.735,1.0,0.05193639052222439,0.10193639052222406,8.246491281082505E-4,0.1472389603496675,0.04070436723648911,0.04169157358710232
0.74,1.0,0.051733468624752275,0.10173346862475194,8.197343320533895E-4,0.14744679704319447,0.04046473299337981,0.041443425168163336
0.745,1.0,0.05153173980111546,0.10153173980111514,8.148618632169563E-4,0.1476533983356677,0.04022713384945108,0.04119740939493964
0.75,1.0,0.05133119393330643,0.1013311939333061,8.100312373521518E-4,0.14785877482934157,0.03999154686356785,0.04095350193229024
0.755,1.0,0.05113182101721521,0.10113182101721489,8.05241977122512E-4,0.14806293700566242,0.039757949416933176,0.04071167879126339
0.76,1.0,0.0509336111610313,0.10093361116103097,8.004936119838408E-4,0.148265895226985,0.03952631920766976,0.04047191632320307
0.765,1.0,0.050736554583672364,0.10073655458367203,7.957856780684931E-4,0.1484676597382593,0.03929663424550754,0.04023419121397237
0.77,1.0,0.05054064161323925,0.10054064161323892,7.91117718071952E-4,0.14866824066868894,0.03906887284657479,0.03999848047829091
0.775,1.0,0.05034586268549684,0.1003458626854965,7.864892811416483E-4,0.14886764803336164,0.038843013628290526,0.03976476145418366
0.78,1.0,0.05015220834238016,0.10015220834237981,7.818999227679735E-4,0.149065891734852,0.03861903550435603,0.039533011797538986
0.785,1.0,0.04995966923052527,0.09995966923052492,7.773492046774354E-4,0.1492629815647974,0.038396917679843046,0.039303209476773196
0.79,1.0,0.049768236099824475,0.09976823609982413,7.728366947279072E-4,0.14945892720544773,0.03817663964637682,0.03907533276759912
0.795,1.0,0.04957789980200546,0.09957789980200511,7.683619668059289E-4,0.14965373823118872,0.03795818117741173,0.03884936024789692
0.8,1.0,0.04938865128923371,0.09938865128923337,7.639246007260063E-4,0.14984742411004037,0.03774152232359755,0.03862527079268421
0.805,1.0,0.049200481612737997,0.09920048161273765,7.59524182131871E-4,0.1500399942051302,0.03752664340823428,0.03840304356918364
0.81,1.0,0.04901338192145821,0.09901338192145787,7.551603023996545E-4,0.1502314577761422,0.037313525022813654,0.03818265803198597
0.815,1.0,0.048827343460715496,0.09882734346071516,7.508325585429339E-4,0.1504218239807416,0.03710214802264561,0.03796409391830602
0.82,1.0,0.04864235757090382,0.09864235757090349,7.465405531196091E-4,0.1506111018759766,0.036892493522567495,0.03774733124332993
