Time,compartment,GSH,HTA,SLG,Lac,MG,reversMA,reversMM,irreversMM
0.0,1.0,0.15,0.0,100.0,0.0,0.01,0.012,-2.918293377190995E-5,0.25
1.0,1.0,0.14646612822901386,0.003560844980248201,99.75012935902323,0.24984366776750072,0.0064661282290138546,4.5486017019151503E-4,-2.6159407949485033E-5,0.2496872709897879
2.0,1.0,0.1463419582225107,0.003711079135240422,99.50057255044507,0.49937441219720635,0.006341958222510657,2.5984114996576227E-6,-2.6023940442742393E-5,0.24937415286185627
3.0,1.0,0.1463525189822134,0.003726530664165543,99.25132910660153,0.7485918437520815,0.006352518982213383,-1.5404088897044352E-5,-2.600282157431047E-5,0.24906064504468384
4.0,1.0,0.14636843647551856,0.0037366076478889637,99.00239937644113,0.9974955794354599,0.006368436475518512,-1.611057805547475E-5,-2.5986204522931707E-5,0.24874674799564633
5.0,1.0,0.14638455809133777,0.0037464639909241828,98.75378375422046,1.2460852236972522,0.0063845580913377345,-1.612226337677214E-5,-2.5969703155725372E-5,0.248432462237649
6.0,1.0,0.14640067513688385,0.0037563083728791883,98.50548262840017,1.4943603880900598,0.0064006751368838165,-1.6111454785119363E-5,-2.595313908989292E-5,0.24811778829504988
7.0,1.0,0.14641678082927279,0.0037661475096079254,98.25749638696617,1.7423206846949462,0.0064167808292727585,-1.6099880742980605E-5,-2.5936506232902098E-5,0.24780272670039072
8.0,1.0,0.1464328749105866,0.0037759815899397267,98.00982541736987,1.9899657261295907,0.00643287491058659,-1.6088243100436522E-5,-2.5919804072614298E-5,0.2474872779943682
9.0,1.0,0.14644895733352553,0.0037858105917034884,97.7624701065183,2.2372951255564613,0.006448957333525525,-1.6076564341327426E-5,-2.590303227608845E-5,0.24717144272586639
10.0,1.0,0.14646502805740616,0.0037956344857822295,97.51543084076577,2.4843084966910176,0.006465028057406146,-1.6064845005185277E-5,-2.5886190514635574E-5,0.24685522145199223
11.0,1.0,0.14648108704157178,0.003805453242702911,97.26870800590576,2.731005453809952,0.00648108704157174,-1.60530849220384E-5,-2.5869278458147287E-5,0.24653861473811087
12.0,1.0,0.14649713424517863,0.003815266832848564,97.02230198716249,2.977385611759466,0.006497134245178611,-1.60412838981017E-5,-2.5852295774905425E-5,0.24622162315788046
13.0,1.0,0.14651316962718827,0.003825075226464489,96.77621316918275,3.2234485859635806,0.006513169627188267,-1.6029441737897E-5,-2.5835242131568883E-5,0.24590424729328753
14.0,1.0,0.14652919314636628,0.0038348783936578046,96.53044193602747,3.4691939924324817,0.006529193146366243,-1.6017558244967728E-5,-2.5818117193166337E-5,0.24558648773468147
15.0,1.0,0.1465452047612812,0.003844676304396777,96.2849886711634,3.7146214477709,0.0065452047612811395,-1.6005633221896284E-5,-2.5800920623089003E-5,0.24526834508080955
16.0,1.0,0.14656120443030368,0.0038544689285101436,96.03985375745464,3.959730569186528,0.006561204430303656,-1.599366647030056E-5,-2.5783652083083504E-5,0.24494981993885165
17.0,1.0,0.14657719211160564,0.003864256235686431,95.7950375771542,4.204520974498468,0.006577192111605623,-1.5981657790825263E-5,-2.576631123324462E-5,0.24463091292445446
18.0,1.0,0.14659316776315903,0.003874038195473272,95.5505405118956,4.448992282145716,0.006593167763159035,-1.5969606983148865E-5,-2.5748897732008094E-5,0.2443116246617665
19.0,1.0,0.1466091313427351,0.0038838147772767167,95.30636294268426,4.693144111195682,0.006609131342735073,-1.5957513845966248E-5,-2.5731411236143366E-5,0.24399195578347188
20.0,1.0,0.14662508280790312,0.0038935859503605426,95.06250524988894,4.936976081352743,0.006625082807903125,-1.5945378176997378E-5,-2.5713851400746365E-5,0.24367190693082483
21.0,1.0,0.14664102211602978,0.0039033516838455607,94.81896781323326,5.180487812966827,0.006641022116029802,-1.5933199772969094E-5,-2.5696217879232193E-5,0.24335147875368376
22.0,1.0,0.1466569492242779,0.003913111946708919,94.57575101178693,5.4236789270420385,0.00665694922427795,-1.5920978429617705E-5,-2.5678510323327884E-5,0.2430306719105449
23.0,1.0,0.14667286408960564,0.00392286670778341,94.33285522395727,5.666549045245313,0.006672864089605656,-1.5908713941695934E-5,-2.5660728383065053E-5,0.24270948706857665
24.0,1.0,0.14668876666876524,0.003932615935756755,94.09028082748034,5.9090977899151005,0.006688766668765256,-1.589640610294256E-5,-2.5642871706772645E-5,0.24238792490365269
25.0,1.0,0.1467046569183023,0.00394235959917091,93.8480281994124,6.151324784070093,0.006704656918302327,-1.588405470610149E-5,-2.5624939941069585E-5,0.24206598610038604
26.0,1.0,0.14672053479455466,0.003952097666421357,93.60609771612101,6.393229651417979,0.006720534794554686,-1.58716595429053E-5,-2.560693273085738E-5,0.24174367135216196
27.0,1.0,0.14673640025365134,0.00396183010575639,93.36448975327632,6.634812016364232,0.0067364002536513794,-1.585922040408215E-5,-2.558884971931287E-5,0.24142098136117152
28.0,1.0,0.14675225325151162,0.0039715568852763975,93.12320468584224,6.876071504020932,0.006752253251511666,-1.5846737079333248E-5,-2.557069054788076E-5,0.24109791683844467
29.0,1.0,0.14676809374384395,0.0039812779729331525,92.88224288806755,7.117007740215627,0.006768093743844004,-1.583420935734152E-5,-2.555245485626631E-5,0.2407744785038831
30.0,1.0,0.14678392168614499,0.003990993336529088,92.64160473347707,7.357620351500208,0.0067839216861450185,-1.5821637025768137E-5,-2.553414228242788E-5,0.24045066708629298
31.0,1.0,0.14679973703369845,0.004000702943716577,92.40129059486269,7.597908965159844,0.006799737033698483,-1.5809019871249053E-5,-2.551575246256958E-5,0.2401264833234177
