Time,compartment,E1,E2,KKK,P_KKK,KK,P_KK,PP_KK,K,P_K,PP_K,KPase,KKPase,E1_KKK,E2_P_KKK,P_KKK_KK,P_KKK_P_KK,PP_KK_K,PP_KK_P_K,KKPase_PP_KK,KKPase_P_KK,KPase_PP_K,KPase_P_K,K_PP_norm_max,r1a,r1b,r2a,r2b,r3a,r3b,r4a,r4b,r5a,r5b,r6a,r6b,r7a,r7b,r8a,r8b,r9a,r9b,r10a,r10b
1.0,1.0,2.9707243384028364E-5,2.999913211585492E-4,0.002956275849464563,8.707496356354648E-6,1.197479272388141,0.0024808773732168644,5.43565432014341E-7,1.1999909282136583,4.965843819200308E-6,1.8887222945686576E-11,0.11999804008250385,2.975545516501615E-4,2.927566159716388E-7,8.678841450834441E-9,3.46439134182682E-5,7.130530339133983E-8,2.145997371765173E-6,8.76741097172416E-12,5.321578651469579E-10,2.4449161919735492E-6,7.356658765361338E-12,1.959910139496161E-6,0.900049,4.390931377462314E-5,4.391349239574582E-5,1.3103471183009184E-6,1.3018262176251661E-6,0.005230459388389723,0.00519658701274023,3.7145892569054204E-4,3.667374287960324E-4,1.0906435179147563E-5,1.0695795508700974E-5,8.19166886435099E-8,7.982367977204368E-8,3.303739815429713E-4,3.218996057647759E-4,3.0190500473542835E-4,2.939865209244242E-4,1.3841493951407366E-9,1.3151116457586239E-9,1.1629309212794838E-9,1.1034988148042007E-9
1.1,1.0,2.9707660318423867E-5,2.999904709686583E-4,0.0029520246102740485,9.557611346228507E-6,1.1969711961700253,0.0029838335437868974,7.906807293547493E-7,1.1999867128707586,7.283443430049884E-6,4.091483932432306E-11,0.11999712175693306,2.970617060372645E-4,2.9233968157613666E-7,9.529031341673132E-9,3.802168840384669E-5,9.42212629577985E-8,3.1253830814718936E-6,1.8747945617876856E-11,7.737457871936808E-10,2.9375202169484837E-6,1.5975675717686357E-11,2.8782270912964738E-6,0.900049,4.384679213722853E-5,4.38509522364205E-5,1.4378376278395128E-6,1.4293547012509696E-6,0.0057369322250463385,0.005703253260577004,4.4575465050627995E-4,4.4062803254227257E-4,1.4385131889685092E-5,1.4133189443669775E-5,1.1881909831385833E-7,1.1606186807905212E-7,4.7999890712787556E-4,4.68807462220784E-4,4.4225818439095905E-4,4.3173406369447105E-4,2.9466865208043716E-9,2.8121918426815284E-9,2.5133115984131938E-9,2.3963513576529533E-9
1.2,1.0,2.97080754047055E-5,2.9998962456721014E-4,0.0029477923337929194,1.0403943049299152E-5,1.1964203079550042,0.003529205823144964,1.1123606852686557E-6,1.1999811992140665,1.0317752566941529E-5,8.259861909396301E-11,0.1199959184213555,2.96528934086617E-4,2.9192459529450057E-7,1.0375432789846061E-8,4.1380018748025796E-5,1.2140438167051438E-7,4.40133468747566E-6,3.74356989243202E-11,1.0876868909071603E-9,3.4699782264922615E-6,3.231768749438487E-11,4.0815463268283605E-6,0.900049,4.378454763555777E-5,4.3788689294175084E-5,1.5647600509009787E-6,1.5563149184769091E-6,0.006240485934784946,0.00620700281220387,5.260149069356186E-4,5.204967339738392E-4,1.850699914267799E-5,1.8210657250577158E-5,1.666940946864993E-7,1.6315303363607404E-7,6.746117059459133E-4,6.60200203121349E-4,6.258562462901928E-4,6.122319490242541E-4,5.86170747714748E-9,5.61535483864803E-9,5.0638440343580715E-9,4.8476531241577304E-9
1.3,1.0,2.9708488650990386E-5,2.999887819361735E-4,0.0029435789356769965,1.1246509436853352E-5,1.1958274890781544,0.004116049043504698,1.5216518686466689E-6,1.1999741554920933,1.419720537096643E-5,1.5720057306594695E-10,0.11999437883669963,2.9595758103470723E-4,2.915113490096156E-7,1.1218063826453523E-8,4.471866720915528E-5,1.5315826415775873E-7,6.025911452668813E-6,7.058184033739979E-11,1.4863092037456032E-9,4.040932656089145E-6,6.161312897122023E-11,5.621101687263327E-6,0.900049,4.372257905241207E-5,4.372670235144234E-5,1.6911170930272893E-6,1.6827095739680283E-6,0.0067410850593928205,0.0067078000813732925,6.120360199224991E-4,6.061398984133717E-4,2.331744478666299E-5,2.297373962366381E-5,2.2739802565976968E-7,2.229463805618405E-7,9.220561981319304E-4,9.038867179003219E-4,8.604195866166734E-4,8.43165253089499E-4,1.1015928031681626E-8,1.0587276050609968E-8,9.621215772138486E-9,9.241969345683034E-9
1.4,1.0,2.970890006535874E-5,2.999879430574255E-4,0.0029393843319746892,1.2085328573008806E-5,1.19519360393891,0.00474343071065,2.032453076819914E-6,1.1999653344518497,1.905886842543718E-5,2.845787297285634E-10,0.11999244831358061,2.953489939371191E-4,2.91099934641262E-7,1.205694257443572E-8,4.803740918869059E-5,1.8977338639459103E-7,8.054581985720945E-6,1.2674044118182752E-10,1.9826248861086988E-9,4.649023437994959E-6,1.1170283797312222E-10,7.55157471657062E-6,0.900049,4.3660885176128E-5,4.36649901961893E-5,1.8169114736246848E-6,1.8085413861653581E-6,0.0072386960336566905,0.007205611378303588,7.036139725016675E-4,6.973535156992438E-4,2.885991074231725E-5,2.8466007959188655E-5,3.028892385468591E-7,2.973937329163048E-7,0.0012306859382257573,0.001208187297858142,0.001154184076969011,0.001132736207485593,1.9725189594711577E-8,1.9011066177274128E-8,1.7391872822130735E-8,1.6755425695968333E-8
1.5,1.0,2.970930965585378E-5,2.9998710791274286E-4,0.0029352084391278815,1.2920418623135698E-5,1.1945194998015152,0.00541043140443087,2.659474695673242E-6,1.1999544740693173,2.504803627048066E-5,4.934909992970507E-10,0.11999006887709138,2.9470451847045175E-4,2.9069034414621795E-7,1.2892087257022192E-8,5.133603238419031E-5,2.315274333884429E-7,1.0546059783884798E-5,2.1822814541694278E-10,2.5902688364512663E-9,5.292891260712014E-6,1.9395260757431894E-10,9.930928956037541E-6,0.900049,4.3599464800592783E-5,4.360355162193269E-5,1.9421459272230927E-6,1.933813088553329E-6,0.007733287133305689,0.007700404857628546,8.005448926534074E-4,7.939336891068021E-4,3.517592366874041E-5,3.472911500826643E-5,3.9521888410504404E-7,3.8854032546768995E-7,0.0016093395921645231,0.0015819089675827196,0.001515876253925226,0.0014896393434056313,3.3880396825107457E-8,3.2734221812541416E-8,3.012112785972991E-8,2.909289113614784E-8
1.6,1.0,2.9709717430481627E-5,2.9998627648379454E-4,0.0029310511739729394,1.3751797861496648E-5,1.193806006648028,0.0061161451209310784,3.41819928967882E-6,1.1999412982565372,3.2317840300935993E-5,8.244104230223777E-10,0.11998717942686092,2.940254959394941E-4,2.902825695183729E-7,1.3723516205398231E-8,5.461433644215427E-5,2.7868563768521346E-7,1.3562143319254703E-5,3.6229240601336326E-10,3.323438711065049E-9,5.9711806217950095E-6,3.243711846269888E-10,1.2820248767914198E-5,0.900049,4.353831672526154E-5,4.354238542775594E-5,2.0668232046184532E-6,2.0585274308097347E-6,0.008224828422941062,0.00819215046632314,9.026255091504262E-4,8.956770932692514E-4,4.2305145741841144E-5,4.1802845652782016E-5,5.065219347080842E-7,4.985158066597574E-7,0.0020673169954685713,0.0020343214978882054,0.0019546891876899143,0.0019230373151871297,5.612495785860845E-8,5.434386090200449E-8,5.026300365451202E-8,4.865567769404832E-8
1.7,1.0,2.971012339721115E-5,2.9998544875213426E-4,0.0029269124537418256,1.4579484678142729E-5,1.1930539370807662,0.006859679559434943,4.324843421484412E-6,1.1999255175451764,4.102887117218665E-5,1.3329064162618656E-9,0.11998371589239445,2.9331326048953393E-4,2.898766027888516E-7,1.4551247865625964E-8,5.7872132611734606E-5,3.31501117641371E-7,1.7167560628736252E-5,5.825098781680066E-10,4.19683654141549E-9,6.68254267392485E-6,5.249533791687529E-10,1.6283582652193226E-5,0.900049,4.347743975517597E-5,4.348149041832774E-5,2.190946073903617E-6,2.1826871798438947E-6,0.0087132917041067,0.008680819891760191,0.0010096535764025456,0.0010023814010887274,5.028542538754497E-5,4.972516764620565E-5,6.39008443849981E-7,6.295254812123235E-7,0.002614355886516097,0.0025751340943104377,0.0024802590242803116,0.002442537397828984,9.006696185476187E-8,8.737648172520098E-8,8.118405788460042E-8,7.874300687531293E-8
1.8,1.0,2.971052756397385E-5,2.9998462469919504E-4,0.002922792196063311,1.540349758510119E-5,1.1922640862710798,0.007640156357341443,5.396320697080507E-6,1.1999068297464872,5.134881479946786E-5,2.093645696392407E-9,0.11997961138372379,2.9256913652226795E-4,2.8947243602614744E-7,1.5375300804855845E-8,6.110924340025976E-5,3.902152144957328E-7,2.1429818354367867E-5,9.104360968005454E-10,5.225612107845696E-9,7.425637865624399E-6,8.252695181990235E-10,2.0387791006709514E-5,0.900049,4.341683270098454E-5,4.3420865403922115E-5,2.3145173213931606E-6,2.3062951207283767E-6,0.00919865046364049,0.009166386510038965,0.0011214282685188422,0.00111384567984366,5.915284782574449E-5,5.853228217435992E-5,7.949550705652324E-7,7.838418161768544E-7,0.003260609306774044,0.00321447275315518,0.0031026421936485326,0.003058168651006427,1.405292575528405E-7,1.365654145200818E-7,1.2740436929851324E-7,1.2379042772985352E-7
1.9,1.0,2.971092993866373E-5,2.9998380430628307E-4,0.0029186903189642706,1.622385522188941E-5,1.1914372319513586,0.008456711276171631,6.650206029270221E-6,1.1998849205876487,6.345210199939428E-5,3.205065365797161E-9,0.11997479633740972,2.917944363125234E-4,2.890700613362651E-7,1.619569371686306E-8,6.432550223142463E-5,4.5505782736075176E-7,2.6419055168501046E-5,1.387526969386823E-9,6.425308205271659E-9,8.199138379271475E-6,1.2643219072772737E-9,2.520239826839347E-5,0.900049,4.335649437896378E-5,4.336050920043976E-5,2.4375397524472823E-6,2.429354057529459E-6,0.009680879822433822,0.009648825334713694,0.0012377505429975403,0.0012298707568907212,6.894178529381544E-5,6.825867410411276E-5,9.766968888822998E-7,9.637962307907487E-7,0.004016623658047245,0.003962858275275157,0.003832293274298857,0.003780359740259021,2.138405058782175E-7,2.0812904540802345E-7,1.948787784180089E-7,1.8964828609159106E-7
