Time,compartment,ADP,NAD,ATP,NADH,pyruvate,lactate,CoA,halfglucose,AcCoA,AcP,Ac,AcO,EtOH,AcLac,AcetoinIn,AcetoinOut,Butanediol,O2,PO4,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14
0.01,1.0,0.932308313173808,7.748624866039485,4.067691686826192,2.251375133960508,0.09596258878560228,0.1,0.9712202599442403,30.0,0.02877974005576085,0.014903772590828849,1.0,0.0015519941371230663,1.0,5.7421193233839606E-5,2.374401595615194E-5,0.0,0.01,0.2,10.0,268.43980880746466,267.24061457612675,0.6631919584295503,-3.9330526506007035,-4.233485743107175,1.2381771482569541,1.0561741522645676,1.8107132644180118E-4,6.08661008753993E-4,9.497561280411459E-4,-0.0010168766908186767,259.24008501125195,50.891813760526695,1.722635797015188E-8
0.011,1.0,0.9281634514632262,7.799779492147483,4.071836548536777,2.20022050785251,0.09665151607965647,0.1,0.9679041441319832,30.0,0.032095855868018004,0.01516262507218002,1.0,0.0017326889657020847,1.0,5.6997303166309314E-5,2.442974721540145E-5,0.0,0.01,0.2,10.0,269.546435513255,268.0474143557496,0.6928625459076535,-3.930801290195117,-4.1552975790373345,1.3507411534571276,1.1715796793396123,1.8420574399480994E-4,6.041678223725534E-4,9.771851141389938E-4,-0.001069966273752314,261.854579808807,50.68817989862956,1.7099190949892794E-8
0.012,1.0,0.92496057924342,7.850697018480452,4.075039420756584,2.1493029815195395,0.09752637614492358,0.1,0.9646751502559262,30.0,0.03532484974407514,0.015363880079455012,1.0,0.0019099942999486865,1.0,5.6581496977996393E-5,2.5139944584524562E-5,0.0,0.01,0.2,10.0,270.94128593401837,269.28668233996234,0.7253642309495959,-3.913053477924458,-4.095224002023633,1.4530304191638308,1.277687796711006,1.8823156856126794E-4,5.997603236536546E-4,0.0010055927272718946,-0.001129977330615184,263.8917253682251,50.47759205195987,1.6974449093398916E-8
0.013,1.0,0.9221453137352992,7.901442120658407,4.077854686264705,2.098557879341584,0.09849035953252822,0.1,0.961531790911966,30.0,0.038468209088035415,0.015533217783080857,1.0,0.0020832453595216235,1.0,5.617433430314585E-5,2.587929240178693E-5,0.0,0.01,0.2,10.0,272.45086413513854,270.69741811464235,0.7603024787486373,-3.887517317848446,-4.04631519291424,1.5453423802219843,1.3742126329332223,1.927264853500275E-4,5.954444446470078E-4,0.0010351663381970072,-0.0011947135504801424,265.6945100191738,50.2594114694939,1.6852300290943754E-8
0.014,1.0,0.9194970554734068,7.95202160685283,4.080502944526598,2.0479783931471616,0.09950479372450383,0.1,0.9584674519281744,30.0,0.0415325480718269,0.015684882852068337,1.0,0.002252244668358519,1.0,5.577609463263917E-5,2.6650844982154868E-5,0.0,0.01,0.2,10.0,274.00473495188845,272.1734574572007,0.7975891351266751,-3.858321257811923,-4.004091894794563,1.6281722383061774,1.461287930379881,1.9752364383367982E-4,5.912231479281857E-4,0.0010660281171761753,-0.0012632521318392104,267.4007787058002,50.03319290678776,1.673282838979175E-8
0.015,1.0,0.9169284358308358,8.002419062815898,4.083071564169168,1.997580937184094,0.10055464886653892,0.1,0.9554730529588997,30.0,0.04452694704110178,0.01582659320277098,1.0,0.0024170723510739058,1.0,5.5386948285186745E-5,2.745697353184807E-5,0.0,0.01,0.2,10.0,275.5739257956418,273.6712316988606,0.8372690838285592,-3.8275686346394764,-3.965885995662303,1.702083215382029,1.5392724530202915,2.0256093376354775E-4,5.870982388655919E-4,0.0010982729102238776,-0.0013352813034473287,269.0654241134445,49.79856566152015,1.661608448555602E-8
0.016,1.0,0.9144051474044844,8.052608929474946,4.08559485259552,1.9473910705250446,0.10163451332157991,0.1,0.9525385039971445,30.0,0.047461496002857276,0.015962512437308143,1.0,0.0025779589769453323,1.0,5.500702668339534E-5,2.8299810802026326E-5,0.0,0.01,0.2,10.0,277.1461190089789,275.17237581113324,0.879447927407928,-3.7962700347086185,-3.930157795033741,1.76764243963255,1.6086287269922146,2.0781960314717178E-4,5.830711105351559E-4,0.001131986025082985,-0.0014107747451611791,270.71000691071447,49.555183393053305,1.65021080050186E-8
0.017,1.0,0.9119140289294004,8.102562147644441,4.088085971070602,1.897437852355549,0.10274292673181211,0.1,0.9496534546696133,30.0,0.050346545330388355,0.016094925876630434,1.0,0.002735207368731816,1.0,5.463645161568921E-5,2.918145554614312E-5,0.0,0.01,0.2,10.0,278.71569601814844,276.66866554583083,0.9242622597466799,-3.7648652021577993,-3.8960155083538957,1.8253919551727977,1.6698534866775527,2.1329926885132688E-4,5.791430538917886E-4,0.0011672514094267015,-0.0014898399699249192,272.3427036149753,49.302703330767685,1.6390935484706763E-8
0.018,1.0,0.9094503679124004,8.15224837443917,4.090549632087603,1.847751625560823,0.10388009593955409,0.1,0.9468076545254773,30.0,0.05319234547452441,0.016225145126135192,1.0,0.0028891472681194094,1.0,5.4275347807895106E-5,3.0104066789328576E-5,0.0,0.01,0.2,10.0,280.2797417112661,278.1559598489296,0.9718676560444596,-3.7335028042053464,-3.862922623885663,1.8758373781611768,1.723440522661199,2.1900776790724692E-4,5.753153910260638E-4,0.0012041554215780957,-0.0015726499422728019,273.96630185327194,49.04077801341438,1.628260434236853E-8
0.019,1.0,0.9070128410899833,8.20163681223326,4.09298715891002,1.7983631877667348,0.1050469754704621,0.1,0.9439911086733853,30.0,0.05600889132661626,0.016353982696198338,1.0,0.003040110227860353,1.0,5.3923848725910805E-5,3.106990873659656E-5,0.0,0.01,0.2,10.0,281.8364362767013,279.6317613025116,1.0224339780773184,-3.7021860753205167,-3.8305324735166613,1.9194449945077423,1.769862415005921,2.2495706602603742E-4,5.715895366715363E-4,0.0012427886267980196,-0.0016594128084234153,275.5814068486621,48.76905245400087,1.617715461777324E-8
