Time,compartment,GSH,HTA,SLG,Lac,MG,vneHTA,vGlxI
0.0,1.0,8.0,0.0,0.0,0.0,0.01,0.027200000000000002,0.0
10.0,1.0,7.961459403602002,0.025374989785795707,0.01316560661220188,0.0,0.01,0.0014402222885931473,0.0014431778153487062
20.0,1.0,7.947124712003877,0.025339615604918167,0.027535672391206297,0.0,0.01,0.001427212259845833,0.001430763542942088
30.0,1.0,7.932913383608974,0.025303809985267506,0.04178280640575833,0.0,0.01,0.0014150574191503333,0.0014185879017676963
40.0,1.0,7.918822272291107,0.025268153264946122,0.055909574443950345,0.0,0.01,0.0014031609281941818,0.0014066728244129562
50.0,1.0,7.904848842857182,0.025232635838482852,0.06991852130433818,0.0,0.01,0.0013915238688467363,0.0013950086493992168
60.0,1.0,7.890990649239227,0.025197285093271047,0.0838120656675043,0.0,0.01,0.0013801102632096177,0.0013835881481063187
70.0,1.0,7.877245325318733,0.02516207716925126,0.09759259751201463,0.0,0.01,0.0013689361651399203,0.0013724017612552965
80.0,1.0,7.863610565467631,0.02512700898567165,0.11126242554669585,0.0,0.01,0.0013579968470615808,0.0013614414368123757
90.0,1.0,7.850084173380845,0.025092094395539912,0.12482373222361567,0.0,0.01,0.001347270849999565,0.001350700405335129
100.0,1.0,7.83666397276477,0.025057320451863964,0.13827870678336476,0.0,0.01,0.0013367638510176152,0.0013401708018038361
110.0,1.0,7.823347880891399,0.025022701987990417,0.1516294171206107,0.0,0.01,0.0013264537871604358,0.0013298465574282132
120.0,1.0,7.810133892010774,0.024988237433808486,0.1648778705554201,0.0,0.01,0.0013163354246900627,0.001319721059494069
130.0,1.0,7.797020057980279,0.02495391723521338,0.17802602478451007,0.0,0.01,0.0013064117895674396,0.0013097875779219971
140.0,1.0,7.784004484001878,0.0249197414061977,0.1910757745919297,0.0,0.01,0.0012966764253467093,0.0013000401504434853
150.0,1.0,7.771085334934114,0.024885709731406858,0.2040289553344871,0.0,0.01,0.0012871233100550626,0.0012904730641432817
160.0,1.0,7.758260832465927,0.024851821909637927,0.21688734562444,0.0,0.01,0.001277746701649849,0.0012810808483048894
170.0,1.0,7.7455292525981365,0.02481807758424539,0.22965266981762333,0.0,0.01,0.001268541098745822,0.0012718582624425643
180.0,1.0,7.73288892329532,0.024784476365717113,0.24232660033896927,0.0,0.01,0.001259501209829806,0.0012628002848153826
190.0,1.0,7.7203382222814,0.024751017844350333,0.2549107598742553,0.0,0.01,0.001250621932962926,0.001253902101256709
200.0,1.0,7.707875574957636,0.024717701576423612,0.26740672346594685,0.0,0.01,0.001241898362668116,0.0012451590934517117
210.0,1.0,7.695499458214072,0.024684537232770577,0.2798160045531643,0.0,0.01,0.0012333155528295656,0.0012365673277463796
220.0,1.0,7.683208395071377,0.024651514300759094,0.29214009062786994,0.0,0.01,0.0012248790994759985,0.0012281220577625197
230.0,1.0,7.671000940591866,0.024618630863838448,0.30438042854429936,0.0,0.01,0.0012165860255355133,0.0012198191258099315
240.0,1.0,7.658875689302066,0.024585886152756413,0.31653842454517855,0.0,0.01,0.0012084323293430517,0.001211654590272087
250.0,1.0,7.646831274733613,0.02455327936566397,0.328615445900724,0.0,0.01,0.0012004141747736785,0.0012036246603041364
260.0,1.0,7.6348663679077085,0.02452080968621464,0.3406128224060792,0.0,0.01,0.0011925278678094203,0.0011957256891904095
270.0,1.0,7.622979675908341,0.02448847628761967,0.3525318478040434,0.0,0.01,0.001184769847592495,0.0011879541674686977
280.0,1.0,7.6111699405257704,0.024456278336809727,0.3643737811374243,0.0,0.01,0.001177136677609797,0.0011803067164734096
290.0,1.0,7.5994359369658175,0.024424214998614448,0.37613984803557,0.0,0.01,0.0011696250370831912,0.0011727800822642972
300.0,1.0,7.5877764726206935,0.02439228543989107,0.3878312419394164,0.0,0.01,0.001162231712620379,0.0011653711299108118
310.0,1.0,7.576190385897274,0.024360488833213154,0.3994491252695123,0.0,0.01,0.0011549535905054469,0.0011580768380894295
320.0,1.0,7.564676545098756,0.024328824358793983,0.4109946305424495,0.0,0.01,0.0011477876509538507,0.001150894293910364
330.0,1.0,7.553233847355063,0.024297291200382612,0.4224688614445557,0.0,0.01,0.0011407309686207769,0.0011438206877583312
