Time,compartment,EGF,R,Ra,R2,RP,PLCg,RPLCg,RPLCgP,PLCgP,Grb,RG,SOS,RGS,GS,Shc,RSh,RShP,ShP,RShG,ShG,RShGS,ShGS,PLCgl,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25
1.0,3.000184464581059E-12,596.5978457991239,16.597845799124055,47.46979094735006,13.854899421728867,0.5068067480272722,103.81031912745934,0.9325062893379096,0.2420255196845589,0.012942533263088422,84.57325871259476,0.04571800790249042,33.70305930958089,0.004221948201053907,0.28602555713707545,147.5130131384579,0.8425040643794554,1.4555852213877185,0.09812180161040383,0.07655329734318714,0.0075292917404353975,0.005361108770373305,0.0013320763106677998,0.0022065302548371947,8.057558906744804E-11,6.344496175103489E-11,4.154949406274578E-11,1.3546473314976322E-11,8.910614871156236E-12,2.761215040061045E-12,2.177048991786056E-13,3.8822575164561007E-16,3.7890298277842034E-13,4.546515127941597E-14,-1.5769803751871024E-15,-8.538261513114163E-13,1.8668852113826636E-11,1.4903067818980407E-11,1.309892431512748E-12,1.4714023869410557E-15,1.0849662803569215E-12,6.888766469004125E-14,7.705822643798455E-14,1.9295130815449335E-15,7.242753709435262E-14,2.2582656296184638E-14,-1.3684937140929488E-15,1.0551058796766672E-14,3.862901206632992E-14
1.1,3.0001901813440925E-12,594.1395933965788,14.13959339657917,45.85904338797928,14.923851332681075,0.5580945797278686,103.49957870820792,1.141079203054337,0.33559469202609143,0.019924049304624797,84.48715305313226,0.057275274679639,33.66881463152806,0.005980528120428945,0.31391729899792165,146.8612347153355,0.9623619063088391,1.8955422195646592,0.14518731372129276,0.11206460764568513,0.01232169607044183,0.008837263912089674,0.002450277441580913,0.00382334740676478,6.735340263309221E-11,5.861440041401265E-11,4.475481116065139E-11,1.4902216725048856E-11,9.712612176777774E-12,3.3728984053590978E-12,3.0183507175286574E-13,5.976024125394241E-16,4.157751083783818E-13,5.677522312308134E-14,-1.826892300384357E-15,-8.519620606219445E-13,2.039761251667227E-11,1.6981316714037465E-11,1.705769221325544E-12,2.17688013117663E-15,1.4077213083135952E-12,1.0083957986728371E-13,1.1262512270416869E-13,3.1804304180298197E-15,1.0670165634056336E-13,3.686666781597249E-14,-2.136255757971309E-15,1.492881846447516E-14,5.942804664726556E-14
1.2,3.0001644945489393E-12,592.0823539886985,12.082353988698793,44.17013840752244,15.7775913028688,0.6026407895929783,103.1644039369947,1.3535168828536317,0.4466747144604876,0.02916187962994341,84.38745659869826,0.06958264103258432,33.632351408743446,0.008135478828294261,0.34154649272225396,146.15641133484428,1.069805550729423,2.375772102720002,0.2047322229877804,0.1562828852448842,0.019029283767655867,0.01375145355823573,0.004215166147859567,0.006242586060949913,5.6433112408827664E-11,5.379675641733003E-11,4.731469468491861E-11,1.6077521909051035E-11,1.0378683882654121E-11,3.993549441391822E-12,4.016909085274472E-13,8.746013387086663E-16,4.472605151325567E-13,6.874244886559685E-14,-2.0465098542210123E-15,-8.499076192280017E-13,2.185590009403184E-11,1.8828860934640017E-11,2.137861766479007E-12,3.0691352539837697E-15,1.7574834212866756E-12,1.4062363359938894E-13,1.5680198415340943E-13,4.948694314604823E-15,1.4978269910533024E-13,5.6790648385355915E-14,-3.1407612362906592E-15,2.013897691522262E-14,8.692380614434474E-14
1.3,3.000135171757389E-12,590.3568438363379,10.35684383633827,42.465071034788274,16.434528779251078,0.640801584153405,102.80916275344073,1.565381703612584,0.5748191562157718,0.04093496601242008,84.27328007062819,0.08244666470980427,33.593162098975704,0.010704111561327634,0.36887283226591466,145.4072664536691,1.1640589454573698,2.8864770842533143,0.2775011957855066,0.20942263692333363,0.028012726714322336,0.020401898298669993,0.006859058898465706,0.00970142071822064,4.7384389967676525E-11,4.916810910591311E-11,4.9284362290228636E-11,1.7082710216771127E-11,1.0919220362252661E-11,4.609922237405386E-12,5.168650791549702E-13,1.22754648463633E-15,4.736550626330884E-13,8.116258508245167E-14,-2.2276829455870567E-15,-8.476418596623008E-13,2.306253970472714E-11,2.0433495143067057E-11,2.5973492531721504E-12,4.159123343543619E-15,2.1264492345715682E-12,1.8843190661193178E-13,2.0974525581003983E-13,7.341518774539481E-15,2.020696059169993E-13,8.337630693286294E-14,-4.391129409394698E-15,2.6122336077119013E-14,1.219317701726204E-13
1.4,3.0001308782765094E-12,588.9065888333823,8.906588833382742,40.784112659089544,16.915940594760905,0.6730903390428821,102.43782820830735,1.7730314692438123,0.7192007355232138,0.05547758018535396,84.1439676580472,0.09569248953584936,33.55071276662707,0.013697021494983428,0.39585797177747584,144.62180043979583,1.2452021236646627,3.418272054054941,0.36394052334015997,0.27144090300772455,0.03961171603624169,0.029081523434816122,0.010650716665735385,0.014462006740007714,3.98651993534442E-11,4.482553318325098E-11,5.0727629074111425E-11,1.7932041476613325E-11,1.134716537197201E-11,5.211214297402955E-12,6.466085163522802E-13,1.6634045889459794E-15,4.953745520439374E-13,9.385107304112543E-14,-2.3643184473446307E-15,-8.451456661088514E-13,2.4041391083977447E-11,2.179834925623404E-11,3.075783443553781E-12,5.453270596705692E-15,2.5072104875629324E-12,2.442248245958344E-13,2.7134403929326617E-13,1.046418683249986E-14,2.6372708181761226E-13,1.1756518002344142E-13,-5.881116717554722E-15,3.279226447608817E-14,1.651311599494612E-13
1.5,3.000083608643645E-12,587.6853471168749,7.685347116875468,39.152696993887595,17.243750269315814,0.7000895599666215,102.05392806449754,1.973591306313137,0.8787000178475931,0.07297399924958799,83.9990845779792,0.10916580997504795,33.50445437775715,0.01711881230139637,0.42246659687075505,143.80718921250985,1.3138654232963833,3.9625573752681116,0.46422378605220194,0.34207052736838967,0.05413346243442761,0.040068842965909124,0.01589137010487624,0.02080661209189001,3.360160753395193E-11,4.08148853760605E-11,5.171024812114844E-11,1.864140505781705E-11,1.1676285342689195E-11,5.7889689162622726E-12,7.899104260324081E-13,2.1876235810720044E-15,5.128870679419112E-13,1.0664484078334567E-13,-2.4521270205762065E-15,-8.424019494189621E-13,2.481807842833864E-11,2.293631729178664E-11,3.565424142530821E-12,6.953862237090711E-15,2.8930395707816553E-12,3.077611492974337E-13,3.412541716272749E-13,1.4416773192468414E-14,3.347093188790494E-13,1.601829479598517E-13,-7.588088682572797E-15,4.004243939962252E-14,2.1704940266049386E-13
1.6,3.0000753571118437E-12,586.655080041393,6.655080041393645,37.58614233163763,17.43920251439442,0.72239596720183,101.66053122451272,2.1648899905038315,1.0519897954207469,0.09355648972349613,83.83839519637036,0.12273331402909948,33.45383284159996,0.02096891606136755,0.4486679083688026,142.96975022155496,1.371001212886698,4.511726631901199,0.5782872684869554,0.42085982076846135,0.07184451043195009,0.053620650316640164,0.02290968365331211,0.029032499838967645,2.8372623009596226E-11,3.7149782106905345E-11,5.229593566416721E-11,1.922690237963281E-11,1.192011440613077E-11,6.336871502198383E-12,9.455742889227996E-13,2.8040713010262997E-15,5.266706701744161E-13,1.1940258825770653E-13,-2.4883620373267134E-15,-8.393956919945518E-13,2.541800598461809E-11,2.3865911038218348E-11,4.059426037256354E-12,8.65958042404062E-15,3.278045337219357E-12,3.7863370819319084E-13,4.189387770616865E-13,1.9291518212572124E-14,4.147907358423651E-13,2.1191402257049792E-13,-9.473008072872448E-15,4.7754229983055615E-14,2.7805654418498134E-13
1.7,2.9999933988675497E-12,585.7843913438902,5.784391343890607,36.092911592059544,17.52211403487559,0.7405875719948539,101.26026620843355,2.345374153537385,1.2376073631453217,0.11730554949971132,83.66183936639507,0.13628185005018006,33.39829890107668,0.02524235837975394,0.47443647099256175,142.11497003542124,1.417720285351533,5.059242307412765,0.7058674176321982,0.5072122987580799,0.09296538587327809,0.06996630851940293,0.032055961031692594,0.039446725383808626,2.399893137751172E-11,3.382431380530411E-11,5.254412447746692E-11,1.9704013493625104E-11,1.2091352552231712E-11,6.850481356140358E-12,1.1122828762532501E-12,3.5150431443157486E-15,5.371879888573112E-13,1.3200383437467306E-13,-2.471571426417687E-15,-8.361139712123516E-13,2.586522024908383E-11,2.4608301520993296E-11,4.5519066337516575E-12,1.0566075240234938E-14,3.657225965518507E-12,4.563051765568826E-13,5.03709001799791E-13,2.5170778089614192E-14,5.035978828092701E-13,2.732849725183856E-13,-1.1481234226925556E-14,5.5803140881632635E-14,3.483664432145912E-13
1.8,3.0000504432669313E-12,585.0473034618939,5.047303461894386,34.6768995359079,17.510504952732912,0.7552045227662059,100.85536523840827,2.514012145535744,1.434010516513341,0.1442513742646688,83.46951259568553,0.14971662054669405,33.33731871278999,0.029930354463093566,0.49975219263811205,141.2475830609653,1.4551811092305371,5.5996129288481615,0.8465346642896593,0.6004221983969977,0.11766729816068147,0.08930315206511177,0.04369558804378559,0.05236072527775282,2.033435960475331E-11,3.082146935688361E-11,5.250885872251575E-11,2.0087124371197645E-11,1.2201549747869585E-11,7.326934859130232E-12,1.2886485576373284E-12,4.321307682222254E-15,5.448714877461684E-13,1.4434705706965259E-13,-2.4013721662470887E-15,-8.325460383942106E-13,2.6181793663892844E-11,2.5185329638957E-11,5.037925507584041E-12,1.2666482856073428E-14,4.026445997539998E-12,5.401400487927658E-13,5.947607233432619E-13,3.212537538732501E-14,6.00638332964287E-13,3.4465454697259045E-13,-1.3543949528108618E-14,6.406399298536803E-14,4.2804165751900866E-13
1.9,3.0000319617300528E-12,584.4222303806746,4.42223038067509,33.33893848483547,17.420472459446692,0.7667404489976422,100.44769207070723,2.6702108197874423,1.6396331212243191,0.17437814899228632,83.26163633644484,0.16295986067310964,33.270380117185155,0.03502109197181487,0.524601608362832,140.37161435215637,1.484522059028497,6.128349893041871,0.9997325932260945,0.6997114809851853,0.14607243908194908,0.11179433208808753,0.058202850392194076,0.06808583928848916,1.7259038753711456E-11,2.8118402841035297E-11,5.223841516487015E-11,2.0389325707974508E-11,1.2260989041560306E-11,7.76468749117868E-12,1.47326315905732E-12,5.222238027759811E-15,5.501166007589906E-13,1.5634829869821003E-13,-2.278250904540202E-15,-8.286831797900739E-13,2.638758083977069E-11,2.5618294081765416E-11,5.513445258110683E-12,1.4952024116497404E-14,4.382394516936931E-12,6.294379338383414E-13,6.912128122220155E-13,4.02138284863688E-14,7.053326127733535E-13,4.262147542857724E-13,-1.5580208441708485E-14,7.241550914376191E-14,5.17006721440895E-13
